F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
1 I     0     278       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-nvme-
1 I     0     280       2  0  80   0 -     0 -      ?        00:00:00 kworker/5:3-mm_percpu_wq
1 S     0     317       2  0  80   0 -     0 -      ?        00:00:00 jbd2/nvme0n1p2-8
1 I     0     318       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-ext4-
4 S     0     367       1  0  79  -1 - 16814 -      ?        00:00:00 systemd-journal
4 S     0     404       1  0  80   0 -  7789 -      ?        00:00:00 systemd-udevd
1 S     0     460       2  0  58   - -     0 -      ?        00:00:00 psimon
1 S     0     637       2  0   9   - -     0 -      ?        00:00:00 irq/165-mei_me
1 I     0     662       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-cfg80
1 I     0     670       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-crypt
1 I     0     696       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-ttm
1 S     0     715       2  0  80   0 -     0 -      ?        00:00:07 napi/phy0-8194
1 S     0     716       2  0  80   0 -     0 -      ?        00:00:00 napi/phy0-8195
1 S     0     717       2  0  80   0 -     0 -      ?        00:00:02 napi/phy0-8196
1 S     0     727       2  0   9   - -     0 -      ?        00:00:00 card1-crtc0
1 S     0     728       2  0   9   - -     0 -      ?        00:00:00 card1-crtc1
1 S     0     729       2  0   9   - -     0 -      ?        00:00:00 card1-crtc2
1 S     0     730       2  0   9   - -     0 -      ?        00:00:00 card1-crtc3
1 S     0     883       2  0  80   0 -     0 -      ?        00:00:00 nv_queue
1 S     0     884       2  0  80   0 -     0 -      ?        00:00:00 nv_queue
1 S     0     886       2  0  80   0 -     0 -      ?        00:00:00 nv_open_q
1 S     0     941       2  0  80   0 -     0 -      ?        00:00:00 nvidia-modeset/kthread_q
1 S     0     943       2  0  80   0 -     0 -      ?        00:00:00 nvidia-modeset/deferred_close_kthread_q
1 S     0     948       2  0   9   - -     0 -      ?        00:00:00 irq/168-nvidia
1 S     0     949       2  0  80   0 -     0 -      ?        00:00:00 nvidia
1 S     0     950       2  0  80   0 -     0 -      ?        00:00:00 nv_queue
1 S     0     958       2  0  58   - -     0 -      ?        00:00:01 mt76-tx phy0
1 S     0     960       2  0   9   - -     0 -      ?        00:00:00 irq/169-AudioDSP
1 S     0    1226       2  0  80   0 -     0 -      ?        00:00:00 UVM global queue
1 S     0    1227       2  0  80   0 -     0 -      ?        00:00:00 UVM deferred release queue
1 S     0    1228       2  0  80   0 -     0 -      ?        00:00:00 UVM Tools Event Queue
4 S   108    1231       1  0  80   0 -  4390 -      ?        00:00:01 systemd-oomd
4 S   101    1248       1  0  80   0 -  5430 -      ?        00:00:00 systemd-resolve
4 S   103    1250       1  0  80   0 - 22762 -      ?        00:00:00 systemd-timesyn
4 S     0    1355       1  0  80   0 - 78521 -      ?        00:00:00 accounts-daemon
4 S   114    1357       1  0  80   0 -  2154 -      ?        00:00:00 avahi-daemon
4 S     0    1358       1  0  80   0 -  3390 -      ?        00:00:00 bluetoothd
4 S     0    1359       1  0  80   0 -  2356 -      ?        00:00:00 cron
4 S   102    1360       1  0  80   0 -  3053 -      ?        00:00:02 dbus-daemon
4 S   996    1364       1  0  80   0 - 109769 -     ?        00:00:00 gnome-remote-de
4 S   999    1377       1  0  80   0 - 96183 -      ?        00:00:00 polkitd
4 S     0    1383       1  0  80   0 - 78377 -      ?        00:00:00 power-profiles-
5 S   129    1384       1  0  80   0 -   832 -      ?        00:00:00 nvidia-persiste
4 S     0    1395       1  0  80   0 -  3001 -      ?        00:00:00 smartd
4 S     0    1402       1  0  80   0 - 554919 -     ?        00:00:04 snapd
4 S     0    1405       1  0  80   0 - 77430 -      ?        00:00:00 switcheroo-cont
4 S     0    1411       1  0  80   0 -  4784 -      ?        00:00:00 systemd-logind
4 S     0    1413       1  0  80   0 - 106219 -     ?        00:00:00 thermald
4 S     0    1414       1  0  80   0 - 117721 -     ?        00:00:00 udisksd
1 S   114    1425    1357  0  80   0 -  2106 -      ?        00:00:00 avahi-daemon
4 S     0    1451       1  0  80   0 - 84396 -      ?        00:00:02 NetworkManager
4 S     0    1454       1  0  80   0 -  4574 -      ?        00:00:00 wpa_supplicant
4 S   104    1486       1  0  80   0 - 55627 -      ?        00:00:00 rsyslogd
4 S     0    1610       1  0  80   0 - 98025 -      ?        00:00:00 ModemManager
1 S     0    1742       2  0  58   - -     0 -      ?        00:00:00 psimon
4 S     0    1748       1  0  80   0 -  9597 -      ?        00:00:00 cupsd
4 S     0    1756       1  0  80   0 - 28064 -      ?        00:00:00 unattended-upgr
4 S     0    1764       1  0  80   0 - 540660 -     ?        00:00:05 containerd
4 S  1000    1770       1  0  80   0 -  5524 -      ?        00:00:02 systemd
4 S     0    1780       1  0  80   0 - 35682 -      ?        00:00:00 sddm
5 S  1000    1782    1770  0  80   0 -  5351 -      ?        00:00:00 (sd-pam)
4 S     0    1790    1780  3  80   0 - 6529434 -    tty2     00:02:41 Xorg
4 S   110    1792       1  0  80   0 - 592041 -     ?        00:00:36 mysqld
0 S  1000    1819    1770  0  80   0 - 29623 ep_pol ?        00:00:00 pipewire
0 S  1000    1820    1770  0  80   0 - 24434 ep_pol ?        00:00:00 pipewire
0 S  1000    1822    1770  0  80   0 - 101526 do_pol ?       00:00:00 wireplumber
0 S  1000    1823    1770  0  80   0 - 29486 ep_pol ?        00:00:00 pipewire-pulse
0 S  1000    1829    1770  0  80   0 -  2658 ep_pol ?        00:00:01 dbus-daemon
4 S   116    1836       1  0  81   1 -  5735 -      ?        00:00:00 rtkit-daemon
0 S  1000    1865    1770  0  80   0 - 152573 do_pol ?       00:00:00 xdg-document-po
0 S  1000    1869    1770  0  80   0 - 77327 do_pol ?        00:00:00 xdg-permission-
4 S     0    1881    1865  0  80   0 -   676 -      ?        00:00:00 fusermount3
1 S     0    1935       2  0  80   0 -     0 -      ?        00:00:00 nvidia-drm/timeline-14
5 S     0    2156       2  0  70 -10 -     0 -      ?        00:00:00 krfcommd
4 S   132    2175       1  0  80   0 - 67118 -      ?        00:00:00 cups-browsed
4 S     0    2176       1  0  80   0 - 571469 -     ?        00:00:01 dockerd
1 S   113    2178       1  0  80   0 -  3186 -      ?        00:00:00 kerneloops
1 S   113    2181       1  0  80   0 -  3186 -      ?        00:00:00 kerneloops
4 S     0    2463    1780  0  80   0 - 16433 -      ?        00:00:00 sddm-helper
0 S  1000    2468    1770  0  80   0 - 79163 do_pol ?        00:00:00 gnome-keyring-d
0 S  1000    2478       1  0  80   0 - 60703 do_pol ?        00:00:00 kwalletd5
4 S  1000    2479    2463  0  80   0 - 74558 do_pol ?        00:00:00 gnome-session-b
1 S  1000    2537    2479  0  80   0 -  2075 -      ?        00:00:00 ssh-agent
1 S  1000    2554       1  0  80   0 - 97221 do_pol ?        00:00:02 ibus-daemon
0 S  1000    2559    1770  0  80   0 - 78569 do_pol ?        00:00:00 gvfsd
0 S  1000    2565    1770  0  80   0 - 114927 futex_ ?       00:00:00 gvfsd-fuse
0 S  1000    2567    2554  0  80   0 - 77622 do_pol ?        00:00:00 ibus-dconf
0 S  1000    2569    2554  0  80   0 - 199309 do_pol ?       00:00:00 ibus-ui-gtk3
0 S  1000    2576    2554  0  80   0 - 181068 do_pol ?       00:00:04 ibus-extension-
0 S  1000    2581       1  0  80   0 - 160888 do_pol ?       00:00:00 ibus-x11
0 S  1000    2585    1770  0  80   0 - 77606 do_pol ?        00:00:00 ibus-portal
0 S  1000    2596    1770  0  80   0 - 95756 do_pol ?        00:00:00 at-spi-bus-laun
0 S  1000    2605    2596  0  80   0 -  2389 ep_pol ?        00:00:00 dbus-daemon
0 S  1000    2615    1770  0  80   0 - 59013 do_pol ?        00:00:01 at-spi2-registr
0 S  1000    2626    1770  0  80   0 - 159396 do_pol ?       00:00:00 xdg-desktop-por
0 S  1000    2634    1770  0  80   0 - 104368 do_pol ?       00:00:00 xdg-desktop-por
0 S  1000    2646    2554  0  80   0 - 59192 do_pol ?        00:00:00 ibus-engine-sim
0 S  1000    2653    1770  0  80   0 - 40663 do_pol ?        00:00:00 gcr-ssh-agent
0 S  1000    2655    1770  0  80   0 - 22887 do_pol ?        00:00:00 gnome-session-c
0 S  1000    2684    1770  0  80   0 - 148613 do_pol ?       00:00:00 gnome-session-b
0 S  1000    2698    1770  4  80   0 - 1128822 do_pol ?      00:03:22 gnome-shell
0 S  1000    2735    2698  0  80   0 - 322488 do_pol ?       00:00:02 mutter-x11-fram
4 S   123    2737       1  0  80   0 - 80053 -      ?        00:00:00 colord
4 S  1000    2758    1770  0  80   0 -  9783 do_wai ?        00:00:00 snapd-desktop-i
1 S  1000    2861    2758  0  80   0 - 247201 do_pol ?       00:00:01 snapd-desktop-i
0 S  1000    2864    1770  0  80   0 - 164003 do_pol ?       00:00:00 gnome-shell-cal
0 S  1000    2871    1770  0  80   0 - 318838 do_pol ?       00:00:00 evolution-sourc
0 S  1000    2884    1770  0  80   0 - 136687 do_pol ?       00:00:00 goa-daemon
0 S  1000    2888    1770  0  80   0 - 667716 do_pol ?       00:00:00 gjs
4 S     0    2890       1  0  80   0 - 79678 -      ?        00:00:00 upowerd
0 S  1000    2917    1770  0  80   0 - 97281 do_pol ?        00:00:00 goa-identity-se
0 S  1000    2923    1770  0  80   0 - 341518 do_pol ?       00:00:00 evolution-calen
0 S  1000    2936    1770  0  80   0 - 95901 do_pol ?        00:00:00 gsd-a11y-settin
0 S  1000    2938    1770  0  80   0 - 113320 do_pol ?       00:00:00 gsd-color
0 S  1000    2939    1770  0  80   0 - 107937 do_pol ?       00:00:00 gsd-datetime
0 S  1000    2948    1770  0  80   0 - 96340 do_pol ?        00:00:00 gsd-housekeepin
0 S  1000    2952    1770  0  80   0 - 113020 do_pol ?       00:00:00 gsd-keyboard
0 S  1000    2957    1770  0  80   0 - 149368 do_pol ?       00:00:00 gsd-media-keys
0 S  1000    2959    1770  0  80   0 - 149069 do_pol ?       00:00:00 gsd-power
0 S  1000    2960    1770  0  80   0 - 80939 do_pol ?        00:00:00 gsd-print-notif
0 S  1000    2961    1770  0  80   0 - 114338 do_pol ?       00:00:00 gsd-rfkill
0 S  1000    2962    1770  0  80   0 - 77390 do_pol ?        00:00:00 gsd-screensaver
0 S  1000    2967    1770  0  80   0 - 135852 do_pol ?       00:00:01 gsd-sharing
0 S  1000    2969    1770  0  80   0 - 114909 do_pol ?       00:00:00 gsd-smartcard
0 S  1000    2970    1770  0  80   0 - 98397 do_pol ?        00:00:00 gsd-sound
0 S  1000    2971    1770  0  80   0 - 131686 do_pol ?       00:00:00 gsd-wacom
0 S  1000    2972    1770  0  80   0 - 113810 do_pol ?       00:00:00 gsd-xsettings
0 S  1000    3049    2684  0  80   0 - 187758 do_pol ?       00:00:02 kgpg
0 S  1000    3050    1770  0  80   0 - 97416 do_pol ?        00:00:01 gvfs-udisks2-vo
0 S  1000    3065    2684  0  80   0 - 206644 do_pol ?       00:00:00 evolution-alarm
0 S  1000    3068    2684  0  80   0 - 96031 do_pol ?        00:00:00 agent
0 S  1000    3094    2684  0  80   0 - 274646 do_pol ?       00:00:01 kalendarac
0 S  1000    3111    2684  0  80   0 - 191298 do_pol ?       00:00:03 nm-applet
0 S  1000    3114    1770  0  80   0 - 104059 do_pol ?       00:00:00 gsd-printer
0 S  1000    3174    1770  0  80   0 - 206380 do_pol ?       00:00:00 evolution-addre
0 S  1000    3243    1770  0  80   0 - 77448 do_pol ?        00:00:00 gvfs-mtp-volume
0 S  1000    3256    1770  0  80   0 - 97344 do_pol ?        00:00:00 gvfs-afc-volume
0 S  1000    3272    1770  0  80   0 - 77443 do_pol ?        00:00:00 gvfs-goa-volume
0 S  1000    3281    1770  0  80   0 - 77690 do_pol ?        00:00:00 gvfs-gphoto2-vo
0 S  1000    3301    1770  0  80   0 - 665649 do_pol ?       00:00:00 gjs
0 S  1000    3329    1770  0  99   - - 183790 do_pol ?       00:00:00 tracker-miner-f
0 S  1000    3399    1770  0  80   0 - 39428 -      ?        00:00:00 gpg-agent
0 S  1000    3415    1770  0  80   0 - 70936 do_pol ?        00:00:01 dolphin
0 S  1000    3416    2559  0  80   0 - 152360 do_pol ?       00:00:00 gvfsd-trash
0 S  1000    3434    1770  0  80   0 - 57560 do_pol ?        00:00:00 dconf-service
0 S  1000    3452    2698  0  80   0 - 803395 do_pol ?       00:00:01 gjs
0 S  1000    3487    1770  0  80   0 - 59076 do_pol ?        00:00:00 gvfsd-metadata
0 S  1000    3565    2684  0  80   0 - 131785 do_pol ?       00:00:00 update-notifier
4 S  1000    8362    2698  7  80   0 - 994445 do_pol ?       00:05:45 firefox
1 S  1000    8433    1770  0  80   0 - 37283 do_pol ?        00:00:00 crashhelper
4 S  1000    8524    8362  0  80   0 - 108704 unix_s ?       00:00:00 forkserver
5 S  1000    8526    8524  0  80   0 - 112314 do_pol ?       00:00:00 Socket Process
5 S  1000    8549    8524  0  80   0 - 670609 do_pol ?       00:00:24 Privileged Cont
5 S  1000    8560    8524  0  80   0 - 212748 do_pol ?       00:00:00 RDD Process
0 S  1000    8601    1770  0  80   0 - 478493 futex_ ?       00:00:00 snap
5 S  1000    8676    8524  0  80   0 - 4939595 do_pol ?      00:00:18 WebExtensions
5 S  1000    8818    8524  0  80   0 - 145822 do_pol ?       00:00:00 Utility Process
5 S  1000    8868    8524  0  80   0 - 712896 do_pol ?       00:00:22 Isolated Web Co
5 S  1000    9027    8524  1  80   0 - 691108 do_pol ?       00:00:57 Isolated Web Co
0 S  1000    9314    1770  1  80   0 - 365364807 do_pol ?    00:00:47 code
0 S  1000    9316    9314  0  80   0 - 8516924 do_pol ?      00:00:00 code
0 S  1000    9317    9314  0  80   0 - 8516926 do_pol ?      00:00:00 code
0 S  1000    9332    1770  0  80   0 - 8394116 ep_pol ?      00:00:00 chrome_crashpad
0 S  1000    9354    9314  0  80   0 - 8470109 futex_ ?      00:00:01 code
1 S  1000    9382    9317  8  80   0 - 365413169 futex_ ?    00:06:15 code
0 S  1000    9438    9314 18  80   0 - 8504105 futex_ ?      00:13:07 code
0 S  1000    9644    9314  0  80   0 - 365336076 futex_ ?    00:00:15 code
0 S  1000    9659    9314  1  80   0 - 365333519 futex_ ?    00:00:50 code
0 S  1000    9674    9314  0  80   0 - 365333144 futex_ ?    00:00:10 code
